                                            Licensed Asbestos Contractors                                                 Updated 08/2026



                     Name                                      Address                      City       State      Phone Number
AAS Environmental, LLC                 3030 NW Expressway Ste 300      Oklahoma City   OK   405 465 0059
Vortex Site Services                   4413 Blackberry Rd              Sarcoxie        MO   4174908197
Osprey of Aurora, LLC                  4601 E . Douglas Ave, Ste 150   Wichita         KS   303 576 6868
CLEAN HARBORS ENVIRONMENTAL SERVICES   2711 BURCH DRIVE                CHARLOTTE       NC   704 488 3095




                                                               3

